direction,signal_bar,signal_timestamp_utc,entry_bar,entry_timestamp_utc,entry_price,stop_price,tp_price,exit_bar,exit_timestamp_utc,exit_price,exit_reason,bars_held,units,notional_entry,notional_exit,cost_entry,cost_exit,cost_total,gross_pnl,net_pnl,r_multiple,equity_before,equity_after,return_frac,atr_at_entry,stop_distance_atr
long,6987,2020-10-27 08:00:00+00:00,6988,2020-10-27 12:00:00+00:00,13449.8,12570.396071088902,16088.01178673329,7078,2020-11-11 12:00:00+00:00,15667.27,time_stop,90,0.6078497104246736,8175.457035269775,9523.345532645177,12.67195840466815,14.761185575600024,27.433143980268174,1347.8884973754018,1320.4553533951337,2.521560260420642,108036.3149600026,109356.77031339773,0.012351198749986554,194.60392891109797,4.5189423144321
long,7086,2020-11-12 20:00:00+00:00,7087,2020-11-13 00:00:00+00:00,16291.85,15103.70436252386,19856.28691242842,7177,2020-11-28 00:00:00+00:00,16990.27,time_stop,90,0.45545569771346606,7420.215908793132,7738.315277190171,11.501334658629355,11.994388679644766,23.49572333827412,318.099368397039,294.60364505876487,0.5878235613300609,109356.77031339773,109651.3739584565,0.0027220262129396973,336.935637476139,3.526328192458662
long,7189,2020-11-30 00:00:00+00:00,7190,2020-11-30 04:00:00+00:00,18579.67,16016.653730737342,26268.71880778797,7280,2020-12-15 04:00:00+00:00,19197.6,time_stop,90,0.2117117729741546,3933.5348769747106,4064.3579328486303,6.096979059310801,6.299754795915376,12.396733855226177,130.82305587391943,118.42632201869326,0.24109484103187923,109651.3739584565,109769.8002804752,0.0010912440123935008,421.42626926266036,6.081766743556314
long,7287,2020-12-16 08:00:00+00:00,7288,2020-12-16 12:00:00+00:00,19739.78,18767.21146208836,22657.48561373492,7293,2020-12-17 08:00:00+00:00,22657.48561373492,take_profit,5,0.5585342615582796,11025.343445622895,12654.981996034776,17.08928234071549,19.6152220938539,36.70450443456939,1629.638550411881,1592.9340459773116,3.0,109769.8002804752,111362.73432645251,0.014662153569956118,282.7885379116413,3.439207773744791
long,7388,2021-01-02 04:00:00+00:00,7389,2021-01-02 08:00:00+00:00,29751.47,27162.710035351778,37517.74989394467,7417,2021-01-07 00:00:00+00:00,37517.74989394467,take_profit,28,0.21291179093233456,6334.438760569624,7987.971321671164,9.818380078882917,12.381355548590305,22.199735627473224,1653.53256110154,1631.3328254740668,2.9999999999999987,111362.73432645251,112994.06715192657,0.014798615375199945,687.289964648221,3.766619764298815
long,7528,2021-01-25 12:00:00+00:00,7529,2021-01-25 16:00:00+00:00,34458.31,29684.001703140995,48781.234890577005,7540,2021-01-27 12:00:00+00:00,29684.001703140995,stop,11,0.11715502010260505,4036.9640007517964,3477.6298162572457,6.257294201165284,5.390326215198731,11.647620416364015,-559.3341844945505,-570.9818049109145,-1.0,112994.06715192657,112423.08534701566,-0.005104120405468241,1215.9982968590032,3.926245874843187
long,7577,2021-02-02 16:00:00+00:00,7578,2021-02-02 20:00:00+00:00,35762.05,31946.08470577668,47209.94588266997,7615,2021-02-09 00:00:00+00:00,47209.94588266997,take_profit,37,0.14582922866526182,5215.152166988527,6884.589993398515,8.083485858832216,10.671114489767698,18.754600348599915,1669.437826409988,1650.683226061388,3.0,112423.08534701566,114073.76857307705,0.014831488779768484,1187.175294223322,3.21432337144433
long,7678,2021-02-19 12:00:00+00:00,7679,2021-02-19 16:00:00+00:00,53863.82,46533.21981026648,75855.62056920058,7701,2021-02-23 08:00:00+00:00,46533.21981026648,stop,22,0.07703771546444572,4149.545638988121,3584.812947387818,6.431795740431587,5.556460068451118,11.988255808882705,-564.7326916003029,-576.7209474091856,-1.0,114073.76857307705,113497.04762566787,-0.005106140975962549,1216.7801897335203,6.024588706805749
long,7738,2021-03-01 12:00:00+00:00,7739,2021-03-01 16:00:00+00:00,49187.99,41111.9648390305,73416.06548290848,7829,2021-03-16 16:00:00+00:00,55731.36,time_stop,90,0.06957000203251089,3422.008564275125,3877.230828474596,5.304113274626443,6.009707784135624,11.313821058762066,455.22226419947094,443.90844314070887,0.8102215965873112,113497.04762566787,113940.95606880858,0.003950424175457879,1888.0351609694962,4.277476038540776
long,7905,2021-03-29 08:00:00+00:00,7906,2021-03-29 12:00:00+00:00,57854.14,53397.94901560022,71222.71295319934,7996,2021-04-13 12:00:00+00:00,63331.83,time_stop,90,0.12658089185442242,7323.228638670615,8016.599524172666,11.351004389939453,12.425729262467632,23.776733652407085,693.3708855020515,669.5941518496444,1.2292314263855129,113940.95606880858,114610.55022065822,0.005935396132053924,1293.890984399772,3.4440235213996626
long,7996,2021-04-13 12:00:00+00:00,7997,2021-04-13 16:00:00+00:00,63331.83,58274.343943806656,78504.28816858004,8023,2021-04-18 00:00:00+00:00,58274.343943806656,stop,26,0.11219340864881994,7105.413883667594,6537.997283829385,11.01339151968477,10.133895789935547,21.147287309620317,-567.4165998382088,-588.5638871478291,-1.0,114610.55022065822,114021.98633351039,-0.0051863470976673065,1076.2460561933383,4.699191255651684
short,8052,2021-04-22 20:00:00+00:00,8053,2021-04-23 00:00:00+00:00,51690.95,58896.18463761153,30075.246087165404,8115,2021-05-03 08:00:00+00:00,58896.18463761153,stop,62,0.07017622280135712,3627.4756240138104,4133.111775278893,5.6225872172214055,6.406323251682284,12.028910468903689,-505.6361512650824,-517.665061733986,-1.0,114021.98633351039,113504.3212717764,-0.005118948283650286,1819.944637611531,3.95904056019395
short,8195,2021-05-16 16:00:00+00:00,8196,2021-05-16 20:00:00+00:00,45553.24,53311.97840976416,22277.02477070751,8286,2021-05-31 20:00:00+00:00,37253.81,time_stop,90,0.06483629159649723,2953.5031518052215,2415.398888240504,4.577929885298093,3.7438682767727816,8.321798162070873,538.104263564717,529.7824654026462,1.0696880809327702,113504.3212717764,114034.10373717904,0.005265726617498097,1828.9784097641584,4.242115909265779
short,8328,2021-06-07 20:00:00+00:00,8329,2021-06-08 00:00:00+00:00,33556.96,37964.19846223899,20335.244613283037,8343,2021-06-10 08:00:00+00:00,37964.19846223899,stop,14,0.11474231372234828,3850.4032318882923,4356.099970171717,5.968125009426853,6.751954953766162,12.720079963193015,-505.69673828342565,-518.4168182466186,-1.0,114034.10373717904,113515.68691893242,-0.0051257678663933146,1064.198462238987,4.141368944441543
short,8387,2021-06-17 16:00:00+00:00,8388,2021-06-17 20:00:00+00:00,37702.53,42337.599888562225,23797.32033431332,8478,2021-07-02 20:00:00+00:00,33786.55,time_stop,90,0.10854305680129732,4092.347855342616,3667.2954157698723,6.3431391757810545,5.684307894443302,12.027447070224357,425.0524395727438,413.02499250251947,0.844858889757693,113515.68691893242,113928.71191143493,0.004104762190738336,1007.5998885622236,4.600109568467852
short,8510,2021-07-08 04:00:00+00:00,8511,2021-07-08 08:00:00+00:00,32487.56,35819.125577753955,22492.86326673814,8601,2021-07-23 08:00:00+00:00,32296.51,time_stop,90,0.15163134789478647,4926.132512612749,4897.16334359745,7.635505394549761,7.590603182576047,15.226108577125808,28.969169015299396,13.74306043817359,0.057345411801500046,113928.71191143493,113942.45497187311,0.00013602417449802418,760.0355777539577,4.383433717141679
long,8617,2021-07-26 00:00:00+00:00,8618,2021-07-26 04:00:00+00:00,38283.97,31013.76560913949,60094.58317258154,8708,2021-08-10 04:00:00+00:00,45948.0,time_stop,90,0.07764207855175,2972.4470060128406,3567.498225295809,4.6072928593199025,5.529622249208503,10.136915108528406,595.0512192829684,584.91430417444,1.0541698125618821,113942.45497187311,114527.36927604755,0.0051810582216714855,910.5543908605121,7.984371349843104
long,8730,2021-08-13 20:00:00+00:00,8731,2021-08-14 00:00:00+00:00,47799.99,42836.85251150078,62689.40246549765,8821,2021-08-29 00:00:00+00:00,48227.31,time_stop,90,0.11432251337750365,5464.61499621954,5513.467292636015,8.470153244140288,8.545874303585823,17.01602754772611,48.85229641647483,31.836268868748714,0.08609876333069612,114527.36927604755,114559.2055449163,0.00028054601111222427,933.1474884992227,5.318706367073239
